Player;Ctry;Birth City;Team;Pos;GP;G;A;P;+/-;PIM;PPG;PPP;SHG;SHP;GW;OT;S;FO%;TOI.GP
Bryan Bickell;Canada;Bowmanville;CHI;L;59;11;4;15;-6;28;0;0;0;0;2;0;93;50.0;11,21
Brandon Bollig;United States;St. Charles;CHI;L;82;7;7;14;-1;92;0;0;0;0;1;0;109;100.0;10,16
Sheldon Brookbank;Canada;Lanigan;CHI;D;48;2;5;7;2;52;0;0;0;0;1;0;43;0.0;12,53
Matt Carey;Canada;Hamilton;CHI;L;2;1;0;1;-1;2;0;0;0;0;0;0;1;47.6;9,38
Michal Handzus;Slovakia;Banská Bystrica;CHI;C;59;4;12;16;0;16;0;0;1;2;2;0;50;49.6;11,38
Jimmy Hayes;United States;Boston;CHI;R;2;0;0;0;1;0;0;0;0;0;0;0;1;0.0;11,50
Niklas Hjalmarsson;Sweden;Eksjo;CHI;D;81;4;22;26;11;34;0;0;1;4;1;0;98;0.0;21,16
Marian Hossa;Slovakia;Stará Lubovna;CHI;R;72;30;30;60;28;20;4;13;3;4;4;0;241;33.3;18,16
Patrick Kane;United States;Buffalo;CHI;R;69;29;40;69;7;22;10;25;0;0;6;0;227;50.0;19,36
Duncan Keith;Canada;Winnipeg;CHI;D;79;6;55;61;22;28;3;21;0;1;3;0;198;0.0;0,38
Michael Kostka;Canada;Etobicoke;CHI;D;9;2;1;3;3;8;0;0;0;0;1;0;18;0.0;14,26
Marcus Kruger;Sweden;Stockholm;CHI;C;81;8;20;28;6;36;0;0;0;1;2;0;96;56.7;13,52
Nick Leddy;United States;Eden Prairie;CHI;D;82;7;24;31;10;10;4;10;0;0;1;0;123;0.0;16,22
Brad Mills;Canada;Terrace;CHI;C;3;0;0;0;-1;0;0;0;0;0;0;0;2;57.1;10,19
Jeremy Morin;United States;Auburn;CHI;L;24;5;6;11;5;32;0;0;0;0;0;0;46;66.7;9,09
Joakim Nordstrom;Sweden;Stockholm;CHI;C;16;1;2;3;-2;2;0;0;0;0;0;0;26;37.0;11,41
Johnny Oduya;Sweden;Stockholm;CHI;D;77;3;13;16;11;38;0;0;0;1;1;0;83;100.0;20,06
Brandon Pirri;Canada;Toronto;CHI;C;28;6;5;11;6;6;1;1;0;0;0;0;34;42.9;12,15
Peter Regin;Denmark;Herning;CHI;C;17;2;2;4;5;2;0;0;0;1;0;0;16;55.3;10,23
Michal Rozsival;Czech Republic;Vlasim;CHI;D;42;1;7;8;7;32;0;0;0;0;0;0;39;0.0;16,39
David Rundblad;Sweden;Lycksele;CHI;D;5;0;0;0;-1;0;0;0;0;0;0;0;4;0.0;8,20
Brandon Saad;United States;Pittsburgh;CHI;L;78;19;28;47;20;20;3;9;0;2;2;0;159;41.0;16,17
Brent Seabrook;Canada;Richmond;CHI;D;82;7;34;41;23;22;3;9;1;1;0;0;149;0.0;22,15
Patrick Sharp;Canada;Winnipeg;CHI;L;82;34;44;78;13;40;10;25;0;0;3;1;313;54.6;18,53
Andrew Shaw;Canada;Belleville;CHI;C;80;20;19;39;12;76;5;9;0;0;2;0;149;43.3;15,41
Ben Smith;United States;Winston-Salem;CHI;R;75;14;12;26;3;2;1;2;0;0;2;0;90;50.8;12,44
Teuvo Teravainen;Finland;Helsinki;CHI;C;3;0;0;0;0;0;0;0;0;0;0;0;4;52.0;14,05
Jonathan Toews;Canada;Winnipeg;CHI;C;76;28;40;68;26;34;5;15;3;5;5;0;193;57.2;20,28
Kris Versteeg;Canada;Lethbridge;CHI;L;63;10;19;29;9;27;1;6;0;0;1;0;110;47.0;14,06
