RK;Player;Team;Pos;G;AB;R;H;2B;3B;HR;RBI;BB;SO;SB;CS;AVG?;OBP;SLG;OPS
1; Altuve, J;HOU;2B;158;660;85;225;47;3;7;59;36;53;56;9;.341;.377;.453;.830
2; Martinez, V;DET;DH;151;561;87;188;33;0;32;103;70;42;3;2;.335;.409;.565;.974
3; Brantley, M;CLE;LF;156;611;94;200;45;2;20;97;52;56;23;1;.327;.385;.506;.890
4; Beltre, A;TEX;3B;148;549;79;178;33;1;19;77;57;74;1;1;.324;.388;.492;.879
5; Morneau, J;COL;1B;135;502;62;160;32;3;17;82;34;60;0;3;.319;.364;.496;.860
6; Abreu, J;CWS;1B;145;556;80;176;35;2;36;107;51;131;3;1;.317;.383;.581;.964
7; Harrison, J;PIT;3B;143;520;77;164;38;7;13;52;22;81;18;7;.315;.347;.490;.837
8; Cano, R;SEA;2B;157;595;77;187;37;2;14;82;61;68;10;3;.314;.382;.454;.836
9; McCutchen, A;PIT;CF;146;548;89;172;38;6;25;83;84;115;18;3;.314;.410;.542;.952
10; Cabrera, M;DET;1B;159;611;101;191;52;1;25;109;60;117;1;1;.313;.371;.524;.895
11; Posey, B;SF;C;147;547;72;170;28;2;22;89;47;69;0;1;.311;.364;.490;.854
12; Revere, B;PHI;CF;151;601;71;184;13;7;2;28;13;49;49;8;.306;.325;.361;.686
13; Span, D;WSH;CF;147;610;94;184;39;8;5;37;50;65;31;7;.302;.355;.416;.771
14; Cain, L;KC;CF;133;471;55;142;29;4;5;53;24;108;28;5;.301;.339;.412;.751
15; Cabrera, M;TOR;LF;139;568;81;171;35;3;16;73;43;67;6;2;.301;.351;.458;.808
16; Lucroy, J;MIL;C;153;585;73;176;53;2;13;69;66;71;4;4;.301;.373;.465;.837
17; Eaton, A;CWS;CF;123;486;76;146;26;10;1;35;43;83;15;9;.300;.362;.401;.763
18; Puig, Y;LAD;RF;148;558;92;165;37;9;16;69;67;124;11;7;.296;.382;.480;.863
19; Kendrick, H;LAA;2B;157;617;85;181;33;5;7;75;48;110;14;5;.293;.347;.397;.744
20; Werth, J;WSH;RF;147;534;85;156;37;1;16;82;83;113;9;1;.292;.394;.455;.849
21; Castro, S;CHC;SS;134;528;58;154;33;1;14;65;35;100;4;4;.292;.339;.438;.777
22; Marte, S;PIT;LF;135;495;73;144;29;6;13;56;33;131;30;11;.291;.356;.453;.808
23; Loney, J;TB;1B;155;600;59;174;27;0;9;69;41;80;4;0;.290;.336;.380;.716
24; Gordon, D;LAD;2B;148;609;92;176;24;12;2;34;31;107;64;19;.289;.326;.378;.704
25; Murphy, D;NYM;2B;143;596;79;172;37;2;9;57;39;86;13;5;.289;.332;.403;.734
26; Adams, M;STL;1B;142;527;55;152;34;5;15;68;26;114;3;2;.288;.321;.457;.779
27; Blackmon, C;COL;RF;154;593;82;171;27;3;19;72;31;96;28;10;.288;.335;.440;.775
28; Freeman, F;ATL;1B;162;607;93;175;43;4;18;78;90;145;3;4;.288;.386;.461;.847
29; Suzuki, K;MIN;C;131;452;37;130;34;0;3;61;34;46;0;1;.288;.345;.383;.727
30; Stanton, G;MIA;RF;145;539;89;155;31;1;37;105;94;170;13;1;.288;.395;.555;.950
