Poslovanje podjetij po: SKD DEJAVNOST, MERITVE , LETO;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
 ;Število podjetij; ; ; ; ;Prihodki od prodaje (1000 EUR); ; ; ; ;Plaèe (1000 EUR); ; ; ; ;Število zaposlenih; ; ; ; 
 ;2008;2009;2010;2011;2012;2008;2009;2010;2011;2012;2008;2009;2010;2011;2012;2008;2009;2010;2011;2012
SKD Dejavnost - SKUPAJ;108744;111835;115243;117481;119644;86194076;72938442;76488237;80045507;80451791;10043172;9543932;9610606;9515579;9318229;583925;557210;534785;513715;501582
B RUDARSTVO;109;106;108;109;106;307862;284309;293514;267682;255889;89295;83952;78687;65127;67521;3430;3207;2934;2395;2435
C PREDELOVALNE DEJAVNOSTI;17344;17172;17113;17012;17182;25829148;20799818;22931877;24424297;23897662;3761192;3346872;3409230;3471966;3501589;221482;197910;187643;183629;180722
D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO;417;481;648;882;1305;3580044;3627353;4034295;5293389;6591860;214381;217468;223772;229334;234175;7554;7704;7770;7831;7781
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;328;338;353;383;392;882568;763945;1032382;1146389;1148907;173377;177259;183799;189927;190874;8996;9194;9303;9547;9532
F GRADBENIŠTVO;19433;19499;19190;18940;18392;8439969;6831334;6023567;5191052;4827439;1112612;1044862;951075;865083;767725;76566;73636;65044;56325;50165
G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL;23130;23617;24296;24786;25281;31608850;26634726;27332912;28714175;28842698;1855492;1849655;1875723;1866172;1815966;108074;107763;105164;102650;101047
H PROMET IN SKLADIŠÈENJE;8941;8807;8688;8510;8491;4734420;4067552;4490937;4646319;4632332;843945;818189;812751;696752;689738;47466;46355;44734;38641;38510
I GOSTINSTVO;7728;7948;8286;8419;8524;1608792;1466450;1464126;1525655;1509592;358426;363216;367833;368062;356375;28665;29119;28338;27683;27194
J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI;4746;5376;5968;6337;6663;3131449;2954306;2987720;2930932;2889313;521962;518195;531183;522938;525064;18948;19279;19039;18864;19276
L POSLOVANJE Z NEPREMIÈNINAMI;2075;2080;2135;2189;2338;768622;639008;673507;601038;659219;74424;75342;75174;72051;70635;4043;4113;4084;3820;3864
M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI;19673;21026;22621;23794;24586;3975375;3644079;3959343;3990742;3902891;707527;729418;761279;808647;765102;33198;34275;35188;36358;36586
N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI;3762;4302;4707;5012;5280;1229855;1136410;1177431;1220788;1206215;317711;307076;328249;347070;322131;24613;23797;24754;25162;23699
